S.No,Title,Address,Category,Contact No,District,Area
41,A.T. Catalytic Solution Federal B Area Karachi,W3G8+HGM,   Auto repair shop,0300 3125722,Central,Gulberg
42,Abdul Hameed N Sons,"Barnes Street Saeed Manzil, near Mama Parsi School", Auto spring shop, (021) 32722381,Central,Nazimabad
43,Abdul Qadir Autos,Shah Faisal Town, Auto parts store, 0333 2020590,East,Johar
44,Abdul rafy tire shop north karachi,St. 1, Tire shop,      0315 1258045,Central,Nazimabad
45,Abdul Razzak Autos,3+ years in business  W3PG+4JV, Motorcycle repair shop,,Central,Gulberg
46,Abdul rehman autos,"water pump, M-1 shop new salimabad", Auto parts store, 0333 9674207,Central,Gulberg
47,Abdul Rehman Tyre Shop / Puncture,Plot 63 N, Mechanic,,East,Johar
48,Abdul Samad Autos,Plot SC 15, Mechanic,0321 2381887,Central,Nazimabad
49,Abdullah Auto Body Parts And Glass Centre,W3H9+M62, Auto body parts supplier,,Central,Gulberg
50,Abdullah Autos,Plot S, Auto tune up service, 0300 3123104,East,Johar
51,Abdullah Autos & Spare Parts,A-1 Rd, Mechanic, 0317 0255012,East,Faisal Cantonment
52,Abdullah Autos Engineering and Suspension Works,3+ years in business  W37R+62V, Mechanic, 0346 2911934,East,Gulshan
53,AA Tawakkal Tyre Shop,,   Tire shop,,East,Gulshan
54,Abbass Car Electrician,W27M+WFW,   Car repair and maintenance,,Central,Nazimabad
55,ABC Pick And Drop Service,"Plot number R- 536, sector 15A/1, Buffer zone, North",   Car rental agency, 0333 2348328,Central,Gulberg
56,Abdul haq Autos,X32R+7HH,      Auto parts store, 0307 2629629,East,Gulzar E Hijri
57,Abdullah Auto Workshop|عبداللہ آٹو ورکشاپ,W4GQ+P92,   Mechanic, 0302 9848892,East,Johar
58,Abdur Rehman Carburetor Service,3+ years in business  Shah Faisal Town, Car repair and maintenance, 0346 2815154,East,Faisal Cantonment
59,Abid Bike Mechanic,W3FG+5W3, Mechanic,0307 2484163,East,Gulshan
60,Abid Tire Puncture Shop,X32H+QRJ, Tire shop,,East,Gulshan
61,Abid Town Apartments Parking,"Abid plaza, Rashid Minhas Rd", Parking lot,,East,Gulshan
62,Abrar Tyre Puncture and Oil Shop,Azeempura Rd, Oil change service,0315 8275042,Central,Gulberg
63,Adamjee insurance," Dr Daud Pota Rd, Karachi Cantonment, Karachi, Karachi City, Sindh", Insurance company,,South,Karachi Cantonment
64,Adamjee Insurance Clifton Division," 404-406, Shaheen Center, Block-7 KDA Scheme No.5، Khayab-e-Roomi, Clifton، Zone C Block 7 Clifton, Karachi, Karachi City, Sindh 75500", Insurance company,,South,Clifton 
65,Adamjee Insurance Company Limited,"Adamjee House, I.I Chundrigar Rd, Seari Quarters, Karachi, Karachi City, Sindh 74000", Insurance company, 0800 002 42,Central,
66,Adamjee Insurance Company Ltd,"11/2/3, 11/2/3 Seari Quarters, Karachi, Karachi City, Sindh", Insurance company, (042) 35772960,Central,
67,Adamjee Life Insurance," Karachi City, 121 BMCHS Rd No. 9, Bihar Muslim Society BMCHS Sharafabad, Karachi, Karachi City, Sindh", Insurance company,,East,Gulshan
68,Adeel Autos,W3PG+7J6, Motorcycle parts store, 0300 4977647,Central,Gulberg
69,Adhiana Rent a car Car wash Oil change,C1 34,Car wash,,East,Gulshan
70,Adnan auto mechanic,Shah Faisal Town, Auto repair shop,0311 8423469,East,Johar
71,Adnan autos,Altaf Ali Barelvi Rd, Mechanic,,Central,Gulberg
72,Adnan Brothers Tyre Shop,, Wheel store, 0343 3373338,East,Johar
73,Adnan Car AC,"Falak، Naz Tower، NAZ HIGHTS, SHAH-RE، FAISAL", Auto air conditioning service, 0333 3415349,East,Faisal Cantonment
74,Abdullah bros battery centre,Plot ST BA2,   Auto repair shop,,Central,Gulberg
75,Adnan Tyre,"Hussainabad Main Rd, Block 2, Federal B Area", Tire shop,,East,Johar
76,Adnan Tyre Centre,Jahangir Ave Landi Kotal Chowrangi, Tire shop,,East,Johar
77,Abdullah Geyser,W3GQ+V93,   Mechanic, 0345 2769750,East,Gulshan
78,Advance Auto care,Main faisal cantonment Road Pakistan home near Malir can't check post No-06, Oil change service, 0333 2233764,East,Faisal Cantonment
79,Abdullah Motor M Block N.Nazimabad,W3V5+VQJ,   Auto bodywork mechanic, 0336 0311852,Central,Nazimabad
80,ABDULLAH RENT CAR SERVICES,Plot F 96,   Car rental agency, 0345 6414162,East,Johar
81,Afaq Service Station & Car Wash,W357+PFJ, Car wash, 0300 3639643,East,Johar
82,Afnan Rent A Car,W4HH+597, Car rental agency,      0300 8253710,East,Johar
83,Aftab Honda Center Bike Electrician and Mechanic,33, Motorcycle repair shop,,East,Gulshan
84,AFTAB TYRE SHOP,Sahba Akhtar Rd, Motorcycle repair shop,,East,Johar
85,Abdullah tire shop,Kabari Market Rd,   Tire shop,,Central,Nazimabad
86,AG Car Care,"3+ years in business  B-320, Block -L. Allama Rasheed Turabi Rd. near Taimuria police station", Car wash, 0345 2102358,East,Johar
87,AG Tyre Centre,"blessing square, Jahangir Ave", Auto parts store, 0333 7233930,East,Gulshan
88,Agha Enterprises,"office # 26, Al-Hafeez Pride, SC-12", Car rental agency,      (021) 36646688,Central,Nazimabad
89,AH Car Rentals,"1st street, Block 'N', North Nazimabad, Karachi, Sindh, Pakistan. 74700.", Car rental agency, 0301 2278883,East,Johar
90,AH Transport Nazimabad,"E 10/40C, Block, Plot, 5", Car rental agency,,Central,Nazimabad
91,Aheer Car Service,W4R3+567, Car rental agency,,East,Johar
92,ahmad auto electrician,Street No. 6, Auto repair shop, 0336 8804190,East,Johar
93,Adnan glass and alluminium shop,Moulana Yousuf Ludhianwi Shaheed Rd, Auto glass shop, 0301 2403306,East,Gulzar E Hijri
94,adnan khan,Shahrah-e-Pakistan,   Auto repair shop,,East,Gulshan
95,Ahmed Autos & Detailing,5+ years in business  Lahore, Car detailing service, 0310 4544479,East,Johar
96,Ahmed Car AC & CNG,Rashid Minhas Rd Service Ln, Chauffeur service, 0336 2836337,East,Johar
97,Ahmed Car Wash Service Station,3442+M5C,Car wash,    ,East,Gulshan
98,Ahmed Rent A Car,"Shah Suleman Rd, Block 10, Liaquatabad", Car rental agency,0313 2299032,East,Johar
99,Ahmed Transport Services,Karachi/Liquatabad, Van rental agency,0333 2166336,Central,Nazimabad
100,Ads rent a car (self drive),W4CM+2J8,   Transportation service, 0334 7091757,East,Johar
101,AISHA SERVICE STATION,"PLOT COMMERCIAL 1,,OLD RAVIAN COOP HOUSING SOCIETY, Safoora Goth,KARACHI", Gas station,      0300 2024101,East,Johar
102,Aisha Total PARCO Petrol Pump,"PLOT COMMERCIAL 1,,OLD RAVIAN COOP HOUSING SOCIETY, Safoora Goth,KARACHI", Gas station,      0300 2949081,East,Johar
103,Aisha Tyre Shop,"Total Parco, 55 University Rd", Tire shop,0313 2308250,East,Johar
104,Ajmal Autos,3+ years in business  E Malir Cantt. Rd Karachi 75070 Malir Cantt. Rd, Auto repair shop,,East,Faisal Cantonment
105,Advance Kashif Tyre Shop,"Number 2, Jamshed Rd",   Tire shop,,East,Johar
106,Advance Rent A Car,"Jeddah Centre, Sir Ghulam Hussain Hidayatallah Rd, Lucky Star, Saddar Town, Karachi, Sindh Karachi Cantonment Karachi, Karachi City, Sindh, Sir Ghulam Hussain Hidayatallah Rd",   Car leasing service, 0300 2257911,East,Johar
107,Akbar autos,"Plot ST 8, Block 11 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh", Auto repair shop,0301 2315584,East,Gulshan
108,Akbar Tours Rent A Car,"R2GP+V86, Delawala Shopping Centre, Roomi Ave, Clifton, Karachi, Sindh  In Delawalla Shopping Center", Car leasing service,,East,Johar
109,Akber Autos,7+ years in business  W3F8+VXF, Auto machine shop,(021) 36320158,Central,Gulberg
110,Akber Mechanical Works,3+ years in business  W24J+753, Car repair and maintenance,,Central,Nazimabad
111,Akhatar interior,"plot#12, University Rd, near bait-ul-Mukarram masjid", Camping store,      0333 3087534,East,Gulshan
112,Akhtar Electrician,3+ years in business  Service Rd, Mechanic,0300 2296516,Central,Nazimabad
113,Akhter Car AC mechanic,W456+C26, Car battery store, 0300 2163378,East,Johar
114,Akram Autos,"3+ years in business  Karachi City, Block 2", Car repair and maintenance,,Central,Nazimabad
115,"Aksha Professional - Auto Planet | auto repairing, electrical work | restoration | car detailing and polishing","Shop#01, Taj palace, Fatima Jinnah Colony, Jamshed road #3, Karachi", Car detailing service, 0341 2576486,East,Johar
116,Al Abid Welding & Tyre Shop,Mehmoodabad Rd, Welder,0300 2947866,Central,Gulberg
117,Al badr oil depot,"25+ years in business  Khurram Arcade, shop, 2 Allama Shabbir Ahmed Usmani Rd", Oil change service, (021) 34979573,East,Gulshan
118,Al Fareed Renta car,A 915 block 12 shop no 2 gulberg, Car rental agency,      0333 3174897,Central,Gulberg
119,AL Fatah Autos,"3+ years in business  Sir Syed Ahmed Rd, Block H North Nazimabad Town, Karachi, Karachi City, Sindh, Sir Syed Ahmed Rd", Mechanic,,Central,Nazimabad
120,Al Ghani Tyre & Puncture Shop,Main road, Tire shop, 0345 9499963,Central,Gulberg
121,Al Ghazi Rent A Car Service,Al Azam Square, Car rental agency,  0318 2519113,Central,Nazimabad
122,Al Hadi Car Care Center,"5th St, Block 5 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh 75300", Auto repair shop, 0313 2560220,East,Gulshan
123,Al Hadi Car Wash,Chakiwara Rd Number 3, Car wash, 0342 8004262,East,Johar
124,Al haj rent a car,Northern Bypass Link, Car rental agency,0301 2375599,East,Gulshan
125,Al Hamd Autos Gullu Bhai,15+ years in business  B 21, Motorcycle repair shop, 0334 1689389,Central,Gulberg
126,Al Hamza Autos,"Shop No. 4/2, A-One Terrace, Block 13-C, Near Al Mustafa Hospitel, Block 13 C Gulshan-e-Iqbal, Karachi, Karachi City, Sindh 79500", Auto repair shop, 0322 2528606,East,Gulshan
127,Al Imran Auto Electrion,7+ years in business  shop L. 41 dyed hight, Auto electrical service,      0345 8879861,East,Johar
128,"Al Jadeed Tailor,s",3+ years in business  Sindh, Mens tailor, 0334 3718931,East,Johar
129,Al jannat Autos,"Plot 100, 3",      Motorcycle parts store,,Central,Nazimabad
130,Al Madina Autos,"shop, Pak Avenue, Cantonment Graveyard Rd", Auto parts store, 0303 2419977,East,Johar
131,Afzal Autos,"Shop#7, Shamim Plaza, Sharah-e-Humayun",   Mechanic,,Central,Nazimabad
132,Al -madina motors,"Gulshan Block 13b shop 7, Block 13 B Gulshan-e-Iqbal, Karachi, Karachi City, Sindh 75300", Auto repair shop,0302 2021630,East,Gulshan
133,Al Makka Autos,1,      Mechanic,0307 2903284,East,Gulshan
134,Al Makkah Motors,Unnamed Road, Auto repair shop, 0321 2702317,East,Gulshan
135,Al Medina Auto Workshop,"3+ years in business  Shop No 41.B, National Complex, Rashid Minhas Rd", Car repair and maintenance,,East,Gulshan
136,al moiz,"Amna terrace, 10 Nazimabad Road Number 2", Car rental agency,    ,Central,Nazimabad
137,AG CAR CARE,B_ block L ,Corporate office, 0321 2700120,East,Gulzar E Hijri
138,AL MUSTUFA AUTOS,SB 4, Mechanic,,East,Gulshan
139,Al Noor Tyres,Plot No. 12/A، 1, Tire shop, (021) 34170272,East,Johar
140,Agriculture Machinery Tyres,"Office # 118-B, Japan Plaza, M.A Jinnah Rd",   Tire shop,,East,Johar
141,Al Rehman Car Wash,Abul Asar Hafeez Jalandhari Rd, Self service car wash,,East,Johar
142,Al Sadath car wash,"Memon hospital road, beside sunly banglo", Car wash, 0308 2435670,East,Johar
143,Al Shahzad Service Station.,3+ years in business  Gul Houses, Car wash,0336 0851100,East,Johar
144,Al Shmsi Battery service,Plot no A60 shop number 5, Car battery store, 0324 2245676,Central,Gulberg
145,Al siraj rent a car,"block e, 2e 6/2", Car rental agency,0340 2004980,Central,Nazimabad
146,AL SIRAJ TRANSPORT,"block e, 2e 6/2", Car rental agency,      0324 2255646,Central,Nazimabad
147,AL WAHAB RENT A CAR,Shop G-08 Billy's gelleria shopping paradise, Transportation service,      0336 2138217,East,Johar
148,Al Waris Car AC,3+ years in business  W3PM+CXW, Mechanic,0300 2650350,Central,Gulberg
149,Al-Ahad Autos n Spare parts,Rashid Minhas Rd Service Ln, Auto repair shop, 0300 2567597,East,Gulshan
150,Alaudin tyre center,University Rd, Used tire shop,,East,Johar
151,Albadar Oil Depot,Allama Shabbir Ahmed Usmani Rd, Auto restoration service,,East,Gulshan
152,Aleem Autos - Mercedes workshop,3+ years in business  W23G+23Q, Car repair and maintenance,,Central,Nazimabad
153,Alfalah Insurance,"Finlay House, 1st Floor Sindh, I.I Chundrigar Rd, City Railway Colony, Karachi, Karachi City, Sindh", Insurance agency, (042) 35774329,Central,
154,Al-Ghazi Traders Rent-A-Car,V2FP+J36, Car leasing service,0300 8911780,East,Johar
155,Al-Hafeez Auto Mechanic,Main Korangi Rd, Mechanic,0300 2860052,East,Faisal Cantonment
156,Alhamad Rent A Car,V357+25M, Car rental agency,      0321 2048823,Central,Gulberg
157,Ahmad Car wash Service station,Shah Faisal Town,   Pressure washing service, 0316 2086687,East,Johar
158,Ahmed Autos,3+ years in business  Shahrah-e-Jahangir,   Mechanic, 0342 2668464,Central,Nazimabad
159,Ahmed Traders,X32W+7P3,      Auto body shop,,East,Gulzar E Hijri
160,Ahsan Geyser Repair,Shahrah-e-Faisal,   Auto repair shop,,East,Faisal Cantonment
161,Ali Auto Spare parts,Shah Faisal Ave, Auto parts store,0302 2263422,East,Faisal Cantonment
162,Ali Autos,7+ years in business  W46G+JPJ, Auto repair shop,,East,Johar
163,Ali Autos (NB Autos),24, Auto bodywork mechanic, 0337 1466660,East,Gulshan
164,Ali autos and Motorsports,W34J+FG8, Motorcycle repair shop, 0300 9294376,East,Gulshan
165,Ali Autos Gulshan e Iqbal," KDA Lal Flats, Shop 37, Block 10-A Gulshan-e-Iqbal, Karachi",Car repair and maintenance, 0302 2226016,East,Gulshan
166,Ali Brothers Tires & Alignment Sharifabad,Hussainabad Rd, Tire shop, 0300 2586727,East,Johar
167,Ali brothers Tires & Wheel Alignment Center.,Jigar Muradabadi Road, Tire shop, 0332 3106609,East,Johar
168,Ali Car Electrician,V35M+H3F, Car battery store, 0300 9208063,East,Johar
169,Ali car rentals,"S-1, 1, near RCD Ground", Car rental agency, 0305 3010906,East,Johar
170,ALI CAR WASH Lubricants & AutoMart,0314 2030170,Car wash,⋅ Opens 8AM Thu,East,Gulshan
171,Ali Haider Mojj Motors,W4HQ+2J5, Motorcycle repair shop,,East,Johar
172,Ali Motors & Transport Service,Al Azam Square J/4-A, Car rental agency,      0308 2519466,Central,Gulberg
173,Ali Nawaz Car Wash,V2FW+W8J  0315 2884339,Car wash,,East,Gulshan
174,Ali Tires Wheel Alignment and Balancing,SB-40 Block'K' North Nazimabad, Tire shop, 0313 1187760,East,Gulshan
175,ALI TYRE SHOP,, Store, 0304 5561580,East,Gulshan
176,Ali Zaib Autos Spare Parts,W4PR+V6Q, Auto parts store,,East,Johar
177,Ali's Tyres,W3W2+WCV, Tire shop, 0314 7780990,Central,Nazimabad
178,AISHA SERVICE STATION,"PLOT COMMERCIAL 1,,OLD RAVIAN COOP HOUSING SOCIETY, Safoora Goth,KARACHI ",Gas station, 0300 2024101,East,Gulzar E Hijri
179,Aisha Total PARCO Petrol Pump,"PLOT COMMERCIAL 1,,OLD RAVIAN COOP HOUSING SOCIETY, Safoora Goth,KARACHI", Gas station, 0300 2949081,East,Gulzar E Hijri
180,Al-Karam Auto Workshop,"Pehlwan Goth Rd, Bhittaiabad Rd", Mechanic,,East,Johar
181,Al-Khalid Auto Parts,near mama Kashmir hotel, Auto parts store,,Central,Nazimabad
182,Aisha Total PARCO Petrol Pump,"PLOT COMMERCIAL 1,,OLD RAVIAN COOP HOUSING SOCIETY, Safoora Goth,KARACHI ",Gas station, 0300 2949081,East,Gulzar E Hijri
183,Allah Tawakkal Auto Motor Workshop,Plot CS 27, Auto repair shop,0300 3125722,Central,Gulberg
184,Allhamdullilah Car Ac And Electrician Services,3+ years in business  W45R+R3P, Car repair and maintenance, 0300 2680914,East,Johar
185,Allianz,"Fayyaz Centre, Main Shahra -e- Faisal, 74400, Suite No. 103, 1st Floor, Block A Sindhi Muslim CHS (SMCHS), Karachi, Karachi City, Sindh", Insurance company,(021) 111 432 584,East,
186,Allianz EFU Health Insurance Limited," D-136, Block 4, KDA Scheme-5، Block 4 Clifton, Karachi, Karachi City, Sindh 75600", Insurance company, (021) 111 432 584,South,Clifton 
187,Allied Engineering Works,"A-114, 1 Street 13", Auto parts manufacturer, (021) 36962489,Central,Nazimabad
188,Alloy Rims Shop,Karachi, Wheel store,,East,Faisal Cantonment
189,Al-madina Auto Engineering work,7 Olympian Islahuddin Rd, Auto repair shop, 0311 2550052,East,Gulshan
190,Al-Madina Rent A Car,Mominabad Rd, Car rental agency,0311 9338039,Central,Nazimabad
191,Al-Madni Wheel Alignment & Tyre Shop,"3+ years in business  Karachi City, Block 5 near hescol petrol pump", Wheel alignment service, 0334 9624014,East,Johar
192,AK paint house,Plot CS 43,   Auto repair shop,,Central,Gulberg
193,Al-Makkah Autos & Radiator Works,7+ years in business, Auto repair shop,0322 3843128,Central,Gulberg
194,Akatar car a/c and car a/c parts,KDA Lal Flats,   Mechanic,0300 2163378,East,Gulshan
195,Alpha Insurance Company Limited,"4th. Floor, Building No. 1-B, State Life Square, Off I.I Chundrigar Rd, Seari Quarters, Karachi, Karachi City, Sindh 74000", Corporate office, 0300 2886774,Central,
196,AlphaTrack - Secure with Us,Abul Hasan Isphahani Rd, Car security system installer,      0341 4431234,,
197,AL-RAFAY AUTO,"5+ years in business  Alrafay Auto، ALRAFAY Auto13th Commercial Street,Plot 15c", Mechanic, (021) 35383616,East,Johar
198,"Al-Rafay Auto Repair Computerized Tuning,Cabon cleanup,Catalytic Converter Service","AL-RAFAY Auto, plot 15c 13th Commercial Street", Tuning automobile, (021) 35383616,East,Johar
199,Al-Rehman Auto Engineering,3+ years in business  W3G9+6WQ, Mechanic,0301 2502771,Central,Nazimabad
200,AL-SABOOR AUTOS,"5+ years in business  Plot No.82, 1", Car repair and maintenance, 0321 9205453,Central,Nazimabad
201,Al-Sam Tyre Zone,"Decent Complex, Karachi - Hyderabad Motorway", Tire shop,0345 6077258,East,Johar
202,Altamash Tyres & batteries,"Raja Mansion, Shop 10", Tire shop, 0345 2246926,East,Gulshan
203,Alter Mechanic,R3XM+H67,      Motorcycle repair shop,,Central,Nazimabad
204,"Al-Wafa Car Wash, Intercleaning Service Station","30+ years in business  151/O, Khalid Bin Walid Rd, behind kundan motors", Chauffeur service,      0332 2380311,East,Johar
205,Al-Wajid,C, Car rental agency,      0307 0226907,Central,Nazimabad
206,Al - Muiz Rent a Car,liaqatabad، 10 Sir Shah Muhammad Suleman Rd,   Car rental agency, 0312 8251207,East,Gulshan
207,AM Autos Gulistan e Johar,3+ years in business  W4FX+HJJ, Mechanic, 0332 3825319,East,Johar
208,Aman Gulshan Rent A Car,WXH5+RM9, Car rental agency,  0316 2248661,East,Gulshan
209,Amanat Autos,7+ years in business  Shah Suleman Rd Block 2, Car repair and maintenance,,East,Gulshan
210,Amanat Petrol Vehicle Mechanic,5+ years in business  W2QV+M4R, Mechanic,,Central,Nazimabad
211,Amaya transport,V349+R8J, Car rental agency,  0320 9090977,Central,Nazimabad
212,Al Barakah Automobiles,"Plot no 31, 32 Main super highway ",Car dealer, 0301 3860789,East,Gulzar E Hijri
213,Al madina autos Nazimabad,,   Car repair and maintenance,,Central,Nazimabad
214,Al Madina Battery Shop,R-109 Kiran Hospital Rd, Car battery store,,East,Gulzar E Hijri
215,Amin Car mechanic,10+ years in business  V2MH+QRC, Auto repair shop,,East,Faisal Cantonment
216,Amir,7+ years in business  Malir Cant. Rd,      Motorcycle repair shop, 0300 3538963,East,Johar
217,Amir Autos,X3G8+PQJ, Mechanic, 0334 3414901,Central,Nazimabad
218,AMIR BUTT Auto Electrition,5+ years in business  Lahore, Auto repair shop,,Central,Gulberg
219,Al Madina Workshop,W3HX+P7M,   Auto repair shop,,East,Gulshan
220,Amir's Car wash,"Plot C, 51  In Point CNG ",Car wash, 0306 2239025,East,Gulshan
221,Amjad Tyre,National Hwy 5, Tire shop, 0300 7241616,East,Gulshan
222,Al makka auto,Abul Hasan Isphahani Rd,      Auto parts store,,East,Gulzar E Hijri
223,Anas Autos Workshop,Unnamed Road, Mechanic,,East,Faisal Cantonment
224,Anas car care,"Plot ST 84, Block 7", Car repair and maintenance, 0333 3154206,Central,Gulberg
225,Al Mustafa Autos ( Motassim ),Badar St,   Auto tune up service,0313 2020930,East,Johar
226,Al Naeem Sheikh Auto WorkShop,"Shop # B11 Pioneer Castle Metrovil 3, Block 1 Scheme 33", Car repair and maintenance, 0300 2507507,East,Gulzar E Hijri
227,Anees Autos,3+ years in business, Mechanic, 0300 2377955,Central,Nazimabad
228,Al naseeb motor shoroom,X464+4HX,      Auto parts store,,East,Gulzar E Hijri
229,Al Razzaq Autos,Moulana Yousuf Ludhianwi Shaheed Rd, Auto parts store, 0343 2907282,East,Gulzar E Hijri
230,Anwar rent a car,Office 7sd11 north Plaza apparments, Car rental agency,      0304 7092751,Central,Nazimabad
231,Anwar Universal Autos,, Tuning automobile,,Central,Nazimabad
232,ANWER TYRE SHOP,shop 01 kamran chowrangi, Tire shop,      0300 3546527,East,Johar
233,AO rent a car,30 D,      Corporate office,,East,Gulshan
234,Al Rehman Autos,Shanti Nagar Colony Main Rd,   Mechanic,0346 7173369,East,Faisal Cantonment
235,Apply to Rent A car,, Car rental agency,      0308 2734650,East,Gulshan
236,Apv van service Karachi,X33V+5W7, Car rental agency,      0308 4403470,East,Johar
237,Aqeel Auto Workshop,  Shahrah-e-Faisal Shah Faisal Colony, Auto repair shop,,East,Faisal Cantonment
238,Aqeel Rent A Car,V2PM+JC9, Corporate office,      0314 3213704,East,Gulshan
239,AL REHMAN AUTOS,X424+926, Mechanic, 0345 2556226,East,Gulzar E Hijri
240,Aqsa Tower,W455+9CG, Apartment building,    ,East,Gulshan
241,Aqua bubble wash and Detailing (Vehichle Service),R4Q9+PR3, Car wash,0311 1252111,East,Johar
242,AR KHAN TOURS - Rent a car service,113 1st floor KMC building bolton market M.A JINNAH RD  In Bolton Market, Car rental agency, 0331 3937191,East,Johar
243,Arham Automobile,"University Rd, Block 7 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh", Auto repair shop,0302 3658038,East,Gulshan
244,Arham motors & tyre shop,Abul Hasan Isphahani Rd, Car accessories store, 0317 2707374,East,Johar
245,Al Rehman Larkana Autos,Ghazi Rd, Motorcycle repair shop,      0317 8236667,East,Gulzar E Hijri
246,Arif Brothers Rent A Car,V75F+M3R, Car leasing service,,East,Gulshan
247,Al saif tyre and rim centre,Sultan Complex,   Tire shop,0300 3861756,East,Johar
248,Arif Ghauri car wash,X345+JPW,Car wash,,East,Gulshan
249,Arif Tyre Shop,V2MH+VMP, Tire shop,    ,East,Johar
250,Aroma Travel,Service Station Rd, Car rental agency, (021) 99205705,East,Gulshan
251,Ar-Rahman Tyres,Shop no. 5 Plot no. FL-9/6 (Junaid Plaza, Wheel alignment service,0335 5963638,East,Gulshan
252,Arsalan Rent A car,Nishtar Rd, Corporate office,      0321 3967702,East,Gulshan
